,隊伍,日期,總分,第一節分數,第二節分數,第三節分數,第四節分數
1045,熱火,2021/4/19,109,32,32,22,23
1046,開拓者,2021/4/19,101,24,27,21,29
1047,?蜂,2021/4/19,109,44,21,28,16
1048,火箭,2021/4/19,114,28,25,32,29
1049,魔術,2021/4/19,110,28,31,18,33
1050,雷霆,2021/4/19,106,31,28,21,26
1051,猛龍,2021/4/19,112,28,24,29,31
1052,國王,2021/4/19,121,22,45,20,34
1053,獨行俠,2021/4/19,107,20,30,27,30
1054,森林狼,2021/4/19,105,26,27,16,36
1055,快船,2021/4/19,124,29,43,32,20
1056,騎士,2021/4/20,105,22,31,23,29
1057,活塞,2021/4/20,109,37,25,22,25
1058,勇士,2021/4/20,107,24,31,20,32
1059,76人,2021/4/20,96,24,31,15,26
1060,公牛,2021/4/20,102,24,18,32,28
1061,凱爾特人,2021/4/20,96,30,18,18,30
1062,太陽,2021/4/20,128,24,31,28,33
1063,雄鹿,2021/4/20,127,25,29,36,26
1064,火箭,2021/4/20,91,28,27,19,17
1065,熱火,2021/4/20,113,30,24,35,24
1066,馬刺,2021/4/20,109,36,19,27,27
1067,步行者,2021/4/20,94,21,23,22,28
1068,雷霆,2021/4/20,107,25,33,21,28
1069,奇才,2021/4/20,119,38,26,24,31
1070,灰熊,2021/4/20,137,35,25,35,21
1071,掘金,2021/4/20,139,27,29,31,29
1072,爵士,2021/4/20,111,29,23,33,26
1073,湖人,2021/4/20,97,23,19,23,32
1074,魔術,2021/4/21,96,24,24,24,24
1075,老鷹,2021/4/21,112,27,38,15,32
1076,?蜂,2021/4/21,97,33,33,16,15
1077,尼克斯,2021/4/21,109,30,30,31,18
1078,籃網,2021/4/21,134,26,31,36,41
1079,鵜鶘,2021/4/21,129,29,30,33,37
1080,快船,2021/4/21,113,30,26,30,27
1081,開拓者,2021/4/21,112,31,29,22,30
1082,森林狼,2021/4/21,134,39,35,25,35
1083,國王,2021/4/21,120,43,31,29,17
1084,勇士,2021/4/22,114,20,38,35,21
1085,奇才,2021/4/22,118,38,22,26,32
1086,公牛,2021/4/22,105,12,32,28,33
1087,騎士,2021/4/22,121,34,27,38,22
1088,雷霆,2021/4/22,116,28,29,29,30
1089,步行者,2021/4/22,122,34,33,26,29
1090,太陽,2021/4/22,116,28,26,23,39
1091,76人,2021/4/22,113,29,25,22,37
1092,籃網,2021/4/22,103,36,22,23,22
1093,猛龍,2021/4/22,114,23,33,36,22
1094,爵士,2021/4/22,112,34,27,30,21
1095,火箭,2021/4/22,89,27,16,20,26
1096,老鷹,2021/4/22,127,39,30,28,25
1097,尼克斯,2021/4/22,137,34,33,23,32
1098,活塞,2021/4/22,117,36,22,32,27
1099,獨行俠,2021/4/22,127,33,34,33,27
1100,熱火,2021/4/22,107,27,24,26,30
1101,馬刺,2021/4/22,87,27,26,19,15
1102,灰熊,2021/4/22,105,39,23,20,23
1103,快船,2021/4/22,117,24,29,34,30
1104,森林狼,2021/4/22,125,34,25,39,27
1105,國王,2021/4/22,128,44,26,25,33
1106,掘金,2021/4/22,106,35,25,22,24
1107,開拓者,2021/4/22,105,36,21,27,21
1108,太陽,2021/4/23,86,21,16,28,21
1109,凱爾特人,2021/4/23,99,26,27,24,22
1110,鵜鶘,2021/4/23,135,29,45,34,27
1111,魔術,2021/4/23,100,27,25,18,30
1112,76人,2021/4/23,117,26,34,27,30
1113,雄鹿,2021/4/23,124,40,37,31,16
1114,活塞,2021/4/23,91,25,22,23,21
1115,馬刺,2021/4/23,106,26,31,25,24
1116,?蜂,2021/4/23,91,23,21,23,24
1117,公牛,2021/4/23,108,34,24,30,20
1118,湖人,2021/4/23,110,26,25,39,20
1119,獨行俠,2021/4/23,115,31,31,32,21
1120,凱爾特人,2021/4/24,104,25,26,22,31
1121,籃網,2021/4/24,109,21,39,28,21
1122,熱火,2021/4/24,103,30,31,28,14
1123,老鷹,2021/4/24,118,31,31,33,23
1124,快船,2021/4/24,109,37,28,11,33
1125,火箭,2021/4/24,104,36,25,19,24
1126,騎士,2021/4/24,102,20,35,23,24
1127,?蜂,2021/4/24,108,22,26,30,30
1128,奇才,2021/4/24,129,36,34,30,29
1129,雷霆,2021/4/24,109,35,33,22,19
1130,灰熊,2021/4/24,130,28,34,38,30
1131,開拓者,2021/4/24,128,23,33,43,29
1132,掘金,2021/4/24,97,24,26,24,23
1133,勇士,2021/4/24,118,30,24,32,32
1134,猛龍,2021/4/25,103,26,33,24,20
1135,尼克斯,2021/4/25,120,30,34,24,32
1136,76人,2021/4/25,94,17,23,23,31
1137,雄鹿,2021/4/25,132,26,24,36,46
1138,活塞,2021/4/25,109,25,36,21,27
1139,步行者,2021/4/25,115,35,23,26,31
1140,馬刺,2021/4/25,110,31,30,24,25
1141,鵜鶘,2021/4/25,108,24,28,32,24
1142,公牛,2021/4/25,101,18,23,22,38
1143,熱火,2021/4/25,106,33,28,19,26
1144,湖人,2021/4/25,93,26,32,21,14
1145,獨行俠,2021/4/25,108,23,23,33,29
1146,森林狼,2021/4/25,101,26,26,30,19
1147,爵士,2021/4/25,96,40,18,16,22
1148,火箭,2021/4/25,116,26,24,32,34
1149,掘金,2021/4/25,129,36,36,30,27
1150,凱爾特人,2021/4/26,104,23,29,36,16
1151,?蜂,2021/4/26,125,33,30,37,25
1152,太陽,2021/4/26,119,32,29,31,27
1153,籃網,2021/4/26,128,27,32,38,31
1154,灰熊,2021/4/26,120,23,35,32,30
1155,開拓者,2021/4/26,113,20,27,31,35
1156,騎士,2021/4/26,110,32,28,33,17
1157,奇才,2021/4/26,119,27,36,24,32
1158,雄鹿,2021/4/26,104,29,22,27,26
1159,老鷹,2021/4/26,111,26,17,27,41
1160,步行者,2021/4/26,131,36,26,41,28
1161,魔術,2021/4/26,112,25,32,20,35
1162,國王,2021/4/26,113,39,26,27,21
1163,勇士,2021/4/26,117,32,31,31,23
1164,老鷹,2021/4/27,86,23,21,23,19
1165,活塞,2021/4/27,100,27,28,19,26
1166,馬刺,2021/4/27,146,38,27,30,38
1167,奇才,2021/4/27,143,34,28,33,38
1168,湖人,2021/4/27,114,28,22,29,35
1169,魔術,2021/4/27,103,16,40,24,23
1170,雷霆,2021/4/27,90,26,19,21,24
1171,76人,2021/4/27,121,34,26,33,28
1172,騎士,2021/4/27,96,23,25,22,26
1173,猛龍,2021/4/27,112,33,16,32,31
1174,太陽,2021/4/27,118,29,27,31,31
1175,尼克斯,2021/4/27,110,36,27,24,23
1176,公牛,2021/4/27,110,20,32,24,34
1177,熱火,2021/4/27,102,26,27,29,20
1178,爵士,2021/4/27,104,33,14,23,34
1179,森林狼,2021/4/27,105,17,32,34,22
1180,快船,2021/4/27,103,20,28,30,25
1181,鵜鶘,2021/4/27,120,33,29,33,25
1182,灰熊,2021/4/27,96,18,35,22,21
1183,掘金,2021/4/27,120,21,37,27,35
1184,獨行俠,2021/4/27,106,17,35,33,21
1185,國王,2021/4/27,113,31,28,28,26
1186,開拓者,2021/4/28,133,34,39,40,20
1187,步行者,2021/4/28,112,35,27,16,34
1188,雄鹿,2021/4/28,114,33,29,25,27
1189,?蜂,2021/4/28,104,28,17,35,24
1190,雷霆,2021/4/28,119,29,26,23,41
1191,凱爾特人,2021/4/28,115,24,25,29,37
1192,籃網,2021/4/28,116,26,30,24,36
1193,猛龍,2021/4/28,103,28,24,31,20
1194,森林狼,2021/4/28,114,28,31,19,36
1195,火箭,2021/4/28,107,23,27,29,28
1196,獨行俠,2021/4/28,133,36,26,41,30
1197,勇士,2021/4/28,103,12,17,35,39
1198,魔術,2021/4/29,109,26,24,32,27
1199,騎士,2021/4/29,104,16,28,17,43
1200,老鷹,2021/4/29,83,17,22,24,20
1201,76人,2021/4/29,127,37,30,26,34
1202,湖人,2021/4/29,107,35,20,22,30
1203,奇才,2021/4/29,116,31,30,29,26
1204,公牛,2021/4/29,94,19,29,27,19
1205,尼克斯,2021/4/29,113,32,20,24,37
1206,?蜂,2021/4/29,111,19,28,33,31
1207,凱爾特人,2021/4/29,120,39,19,30,32
1208,馬刺,2021/4/29,111,20,34,20,37
1209,熱火,2021/4/29,116,31,24,27,34
1210,開拓者,2021/4/29,130,38,36,28,28
1211,灰熊,2021/4/29,109,23,23,37,26
1212,鵜鶘,2021/4/29,112,25,26,27,34
1213,掘金,2021/4/29,114,35,25,27,27
1214,爵士,2021/4/29,154,30,46,40,38
1215,國王,2021/4/29,105,27,17,30,31
1216,快船,2021/4/29,101,31,22,27,21
1217,太陽,2021/4/29,109,39,24,23,23
1218,獨行俠,2021/4/30,115,26,34,26,29
1219,活塞,2021/4/30,105,26,28,29,22
1220,籃網,2021/4/30,130,35,31,45,19
1221,步行者,2021/4/30,113,28,24,41,20
1222,雄鹿,2021/4/30,136,38,35,25,38
1223,火箭,2021/4/30,143,29,36,39,39
1224,勇士,2021/4/30,114,25,33,33,23
1225,森林狼,2021/4/30,126,35,25,29,37
1226,猛龍,2021/4/30,111,33,24,28,26
1227,掘金,2021/4/30,121,30,29,28,34
1228,鵜鶘,2021/4/30,109,31,29,19,30
1229,雷霆,2021/4/30,95,20,23,25,27
1230,老鷹,2021/5/1,104,26,20,31,27
1231,76人,2021/5/1,126,23,42,29,32
1232,馬刺,2021/5/1,140,39,38,26,25
1233,凱爾特人,2021/5/1,143,16,32,42,38
1234,奇才,2021/5/1,122,35,23,33,31
1235,騎士,2021/5/1,93,30,22,16,25
1236,魔術,2021/5/1,75,20,23,15,17
1237,灰熊,2021/5/1,92,19,20,36,17
1238,開拓者,2021/5/1,128,23,36,35,34
1239,籃網,2021/5/1,109,25,32,24,28
1240,雄鹿,2021/5/1,108,28,24,28,28
1241,公牛,2021/5/1,98,16,28,19,35
1242,爵士,2021/5/1,100,23,29,20,28
1243,太陽,2021/5/1,121,39,29,28,25
1244,國王,2021/5/1,110,30,25,23,32
1245,湖人,2021/5/1,106,23,33,32,18
1246,活塞,2021/5/2,94,18,24,28,24
1247,?蜂,2021/5/2,107,26,32,21,28
1248,勇士,2021/5/2,113,22,27,39,25
1249,火箭,2021/5/2,87,24,31,12,20
1250,步行者,2021/5/2,152,42,40,44,26
1251,雷霆,2021/5/2,95,29,17,24,25
1252,熱火,2021/5/2,124,29,38,32,25
1253,騎士,2021/5/2,107,36,24,26,21
1254,灰熊,2021/5/2,111,36,24,25,26
1255,魔術,2021/5/2,112,29,17,30,36
1256,鵜鶘,2021/5/2,140,38,27,33,25
1257,森林狼,2021/5/2,136,30,35,32,26
1258,公牛,2021/5/2,97,26,37,12,22
1259,老鷹,2021/5/2,108,31,23,28,26
1260,奇才,2021/5/2,124,26,39,32,27
1261,獨行俠,2021/5/2,125,38,32,19,36
1262,掘金,2021/5/2,110,27,25,31,27
1263,快船,2021/5/2,104,28,19,26,31
1264,猛龍,2021/5/2,102,33,29,27,13
1265,爵士,2021/5/2,106,29,27,29,21
1266,籃網,2021/5/3,114,37,22,31,24
1267,雄鹿,2021/5/3,117,28,34,28,27
1268,開拓者,2021/5/3,129,34,37,32,26
1269,凱爾特人,2021/5/3,119,32,39,27,21
1270,尼克斯,2021/5/3,122,34,25,34,29
1271,火箭,2021/5/3,97,24,20,27,26
1272,太陽,2021/5/3,123,27,37,34,25
1273,雷霆,2021/5/3,120,33,24,28,35
1274,國王,2021/5/3,111,36,25,26,24
1275,獨行俠,2021/5/3,99,26,28,18,27
1276,76人,2021/5/3,113,37,24,28,18
1277,馬刺,2021/5/3,111,27,25,27,28
1278,熱火,2021/5/3,121,35,30,35,21
1279,?蜂,2021/5/3,111,32,26,22,31
1280,猛龍,2021/5/3,121,32,40,27,22
1281,湖人,2021/5/3,114,38,21,25,30
1282,步行者,2021/5/4,141,31,35,36,39
1283,奇才,2021/5/4,154,36,46,40,32
1284,魔術,2021/5/4,119,21,30,37,31
1285,活塞,2021/5/4,112,26,22,30,34
1286,勇士,2021/5/4,123,39,27,29,28
1287,鵜鶘,2021/5/4,108,21,33,26,28
1288,開拓者,2021/5/4,114,31,31,33,19
1289,老鷹,2021/5/4,123,32,36,34,21
1290,76人,2021/5/4,106,34,26,23,23
1291,公牛,2021/5/4,94,20,23,20,31
1292,尼克斯,2021/5/4,118,25,44,28,21
1293,灰熊,2021/5/4,104,22,36,22,24
1294,馬刺,2021/5/4,99,22,21,29,27
1295,爵士,2021/5/4,110,31,29,29,21
1296,掘金,2021/5/4,89,24,18,23,24
1297,湖人,2021/5/4,93,20,25,25,23
1298,太陽,2021/5/5,134,30,29,31,24
1299,騎士,2021/5/5,118,24,29,35,26
1300,?蜂,2021/5/5,102,30,23,25,24
1301,活塞,2021/5/5,99,28,21,23,27
1302,籃網,2021/5/5,118,33,25,36,24
1303,雄鹿,2021/5/5,124,34,32,26,32
1304,獨行俠,2021/5/5,127,30,33,35,29
1305,熱火,2021/5/5,113,39,15,23,36
1306,國王,2021/5/5,103,25,31,25,22
1307,雷霆,2021/5/5,99,20,26,23,30
1308,勇士,2021/5/5,103,34,23,22,24
1309,鵜鶘,2021/5/5,108,32,24,19,33
1310,猛龍,2021/5/5,100,30,24,28,18
1311,快船,2021/5/5,105,26,22,34,23
1312,凱爾特人,2021/5/6,132,39,24,37,32
1313,魔術,2021/5/6,96,27,18,30,21
1314,開拓者,2021/5/6,141,29,38,35,39
1315,騎士,2021/5/6,105,28,29,23,25
1316,國王,2021/5/6,104,30,26,29,19
1317,步行者,2021/5/6,93,26,21,21,25
1318,奇才,2021/5/6,134,37,34,24,39
1319,雄鹿,2021/5/6,135,29,42,32,32
1320,灰熊,2021/5/6,139,33,40,34,32
1321,森林狼,2021/5/6,135,29,34,40,32
1322,太陽,2021/5/6,103,38,27,23,15
1323,老鷹,2021/5/6,135,42,25,30,38
1324,76人,2021/5/6,135,39,36,33,27
1325,火箭,2021/5/6,115,30,33,28,24
1326,尼克斯,2021/5/6,97,12,31,26,28
1327,掘金,2021/5/6,113,34,30,25,24
1328,馬刺,2021/5/6,94,26,16,21,31
1329,爵士,2021/5/6,126,38,28,34,26
1330,公牛,2021/5/7,120,34,25,37,24
1331,?蜂,2021/5/7,99,24,29,21,25
1332,奇才,2021/5/7,131,31,20,31,33
1333,猛龍,2021/5/7,129,33,27,26,29
1334,籃網,2021/5/7,109,32,30,21,26
1335,獨行俠,2021/5/7,113,37,26,19,31
1336,老鷹,2021/5/7,126,26,32,38,30
1337,步行者,2021/5/7,133,36,36,38,23
1338,灰熊,2021/5/7,97,32,17,21,27
1339,活塞,2021/5/7,111,31,27,20,33
1340,雷霆,2021/5/7,97,24,25,23,25
1341,勇士,2021/5/7,118,31,30,27,30
1342,湖人,2021/5/7,94,20,22,29,23
1343,快船,2021/5/7,118,29,36,27,26
1344,鵜鶘,2021/5/8,107,21,33,37,16
1345,76人,2021/5/8,109,32,38,18,21
1346,凱爾特人,2021/5/8,99,28,18,28,25
1347,公牛,2021/5/8,121,30,30,34,27
1348,森林狼,2021/5/8,112,32,22,24,34
1349,熱火,2021/5/8,121,28,31,30,32
1350,火箭,2021/5/8,133,34,29,29,41
1351,雄鹿,2021/5/8,141,34,30,43,34
1352,魔術,2021/5/8,112,31,31,27,23
1353,?蜂,2021/5/8,122,26,34,34,28
1354,騎士,2021/5/8,90,19,18,28,25
1355,獨行俠,2021/5/8,110,33,29,24,24
1356,掘金,2021/5/8,120,41,32,26,21
1357,爵士,2021/5/8,127,40,29,29,29
1358,尼克斯,2021/5/8,105,33,30,25,17
1359,太陽,2021/5/8,128,30,26,34,38
1360,馬刺,2021/5/8,113,25,27,26,35
1361,國王,2021/5/8,104,21,28,32,23
1362,湖人,2021/5/8,101,22,33,23,23
1363,開拓者,2021/5/8,106,34,25,23,24
1364,活塞,2021/5/9,104,17,26,30,31
1365,76人,2021/5/9,118,34,22,33,29
1366,奇才,2021/5/9,133,33,30,29,32
1367,步行者,2021/5/9,132,32,30,39,23
1368,灰熊,2021/5/9,109,26,21,34,28
1369,猛龍,2021/5/9,99,26,20,26,27
1370,雷霆,2021/5/9,97,25,23,19,30
1371,勇士,2021/5/9,136,37,36,33,30
1372,火箭,2021/5/9,116,32,28,23,33
1373,爵士,2021/5/9,124,32,34,30,28
1374,籃網,2021/5/9,125,24,32,41,28
1375,掘金,2021/5/9,119,37,34,33,15
1376,馬刺,2021/5/9,102,26,21,28,27
1377,開拓者,2021/5/9,124,27,30,33,34
1378,熱火,2021/5/10,130,36,43,26,25
1379,凱爾特人,2021/5/10,124,23,30,31,40
1380,尼克斯,2021/5/10,106,26,30,23,27
1381,快船,2021/5/10,100,29,25,20,26
1382,獨行俠,2021/5/10,124,39,25,34,26
1383,騎士,2021/5/10,97,30,23,19,25
1384,鵜鶘,2021/5/10,112,34,23,32,23
1385,?蜂,2021/5/10,110,25,42,29,14
1386,森林狼,2021/5/10,128,34,40,33,21
1387,魔術,2021/5/10,96,19,25,25,27
1388,公牛,2021/5/10,108,28,29,26,25
1389,活塞,2021/5/10,96,18,21,29,28
1390,太陽,2021/5/10,110,19,28,30,33
1391,湖人,2021/5/10,123,30,29,39,25
1392,雷霆,2021/5/10,98,25,26,20,27
1393,國王,2021/5/10,126,33,38,35,20
1394,奇才,2021/5/11,124,32,30,17,45
1395,老鷹,2021/5/11,125,34,27,35,29
1396,步行者,2021/5/11,111,27,26,26,32
1397,騎士,2021/5/11,102,28,32,17,25
1398,鵜鶘,2021/5/11,110,31,28,29,22
1399,灰熊,2021/5/11,115,36,35,15,29
1400,雄鹿,2021/5/11,125,36,28,29,32
1401,馬刺,2021/5/11,146,45,42,26,33
1402,爵士,2021/5/11,116,30,19,26,41
1403,勇士,2021/5/11,119,31,23,35,30
1404,火箭,2021/5/11,129,33,30,37,29
1405,開拓者,2021/5/11,140,50,29,32,29
1406,掘金,2021/5/12,117,38,25,28,26
1407,?蜂,2021/5/12,112,26,34,26,26
1408,森林狼,2021/5/12,119,30,32,24,33
1409,活塞,2021/5/12,100,20,20,25,35
1410,熱火,2021/5/12,129,28,34,31,36
1411,凱爾特人,2021/5/12,121,28,28,23,42
1412,快船,2021/5/12,115,27,33,25,30
1413,猛龍,2021/5/12,96,19,33,19,25
1414,獨行俠,2021/5/12,104,27,30,25,22
1415,灰熊,2021/5/12,133,28,32,36,37
1416,籃網,2021/5/12,115,32,32,29,22
1417,公牛,2021/5/12,107,23,28,23,33
1418,76人,2021/5/12,94,33,29,13,19
1419,步行者,2021/5/12,103,26,25,24,28
1420,魔術,2021/5/12,102,22,26,23,31
1421,雄鹿,2021/5/12,114,29,30,20,35
1422,太陽,2021/5/12,116,38,28,32,18
1423,勇士,2021/5/12,122,29,29,34,30
1424,雷霆,2021/5/12,106,32,33,18,23
1425,國王,2021/5/12,122,27,35,41,19
1426,尼克斯,2021/5/12,99,25,31,20,15
1427,湖人,2021/5/12,101,24,31,18,18
1428,奇才,2021/5/13,116,30,29,32,25
1429,老鷹,2021/5/13,120,35,21,27,37
1430,馬刺,2021/5/13,116,20,31,30,35
1431,籃網,2021/5/13,128,35,22,39,32
1432,凱爾特人,2021/5/13,94,17,22,30,25
1433,騎士,2021/5/13,102,22,20,25,35
1434,鵜鶘,2021/5/13,107,30,28,22,27
1435,獨行俠,2021/5/13,125,32,45,34,14
1436,開拓者,2021/5/13,105,24,35,25,21
1437,爵士,2021/5/13,98,31,25,20,22
1438,火箭,2021/5/13,122,26,27,43,26
1439,湖人,2021/5/13,124,34,25,41,24
1440,快船,2021/5/14,113,31,13,40,29
1441,?蜂,2021/5/14,90,23,24,30,13
1442,雄鹿,2021/5/14,142,39,30,40,33
1443,步行者,2021/5/14,133,38,28,30,37
1444,魔術,2021/5/14,93,16,25,30,22
1445,老鷹,2021/5/14,116,29,32,32,23
1446,76人,2021/5/14,94,22,19,26,27
1447,熱火,2021/5/14,106,38,22,29,17
1448,馬刺,2021/5/14,98,18,25,34,21
1449,尼克斯,2021/5/14,102,20,26,27,29
1450,國王,2021/5/14,110,32,28,23,27
1451,灰熊,2021/5/14,116,36,23,30,27
1452,掘金,2021/5/14,114,35,28,29,22
1453,森林狼,2021/5/14,103,26,26,37,14
1454,猛龍,2021/5/14,102,27,20,29,26
1455,公牛,2021/5/14,114,30,36,22,26
1456,開拓者,2021/5/14,117,26,27,24,40
1457,太陽,2021/5/14,118,26,26,33,33
1458,騎士,2021/5/15,105,33,23,20,29
1459,奇才,2021/5/15,120,31,27,33,29
1460,魔術,2021/5/15,97,24,19,26,28
1461,76人,2021/5/15,122,27,39,30,26
1462,掘金,2021/5/15,104,29,28,30,17
1463,活塞,2021/5/15,91,25,28,21,17
1464,爵士,2021/5/15,109,30,31,31,17
1465,雷霆,2021/5/15,93,20,27,19,27
1466,快船,2021/5/15,115,33,36,24,22
1467,火箭,2021/5/15,122,30,43,32,17
1468,國王,2021/5/15,106,25,32,19,30
1469,灰熊,2021/5/15,107,29,24,26,28
1470,猛龍,2021/5/15,110,26,26,31,27
1471,獨行俠,2021/5/15,114,31,35,26,22
1472,鵜鶘,2021/5/15,122,32,25,33,32
1473,勇士,2021/5/15,125,41,34,24,26
1474,公牛,2021/5/16,91,29,22,20,20
1475,籃網,2021/5/16,105,28,33,18,26
1476,?蜂,2021/5/16,109,27,27,32,18
1477,尼克斯,2021/5/16,118,36,27,26,15
1478,湖人,2021/5/16,122,36,28,32,26
1479,步行者,2021/5/16,115,28,28,32,27
1480,凱爾特人,2021/5/16,124,37,29,23,35
1481,森林狼,2021/5/16,108,26,21,27,34
1482,太陽,2021/5/16,140,34,34,41,31
1483,馬刺,2021/5/16,103,17,30,23,33
1484,熱火,2021/5/16,108,28,23,30,27
1485,雄鹿,2021/5/16,122,44,26,29,23
1486,步行者,2021/5/17,125,31,37,26,31
1487,猛龍,2021/5/17,113,30,25,28,30
1488,凱爾特人,2021/5/17,92,24,15,26,27
1489,尼克斯,2021/5/17,96,23,31,23,19
1490,?蜂,2021/5/17,110,36,20,34,20
1491,奇才,2021/5/17,115,22,30,27,36
1492,太陽,2021/5/17,123,27,25,37,34
1493,馬刺,2021/5/17,121,23,38,24,36
1494,灰熊,2021/5/17,101,29,20,20,32
1495,勇士,2021/5/17,113,30,25,31,27
1496,魔術,2021/5/17,117,26,39,25,27
1497,76人,2021/5/17,128,32,28,39,29
1498,騎士,2021/5/17,109,24,32,20,33
1499,籃網,2021/5/17,123,34,33,32,24
1500,火箭,2021/5/17,95,33,21,18,23
1501,老鷹,2021/5/17,124,36,36,27,25
1502,熱火,2021/5/17,120,32,37,26,25
1503,活塞,2021/5/17,107,13,34,24,36
1504,掘金,2021/5/17,116,22,33,29,32
1505,開拓者,2021/5/17,132,43,29,35,25
1506,湖人,2021/5/17,110,36,27,28,19
1507,鵜鶘,2021/5/17,98,28,31,17,22
1508,雄鹿,2021/5/17,112,23,31,31,27
1509,公牛,2021/5/17,118,33,22,36,27
1510,快船,2021/5/17,112,26,34,28,24
1511,雷霆,2021/5/17,117,35,27,24,31
1512,爵士,2021/5/17,121,28,36,33,24
1513,國王,2021/5/17,99,25,24,24,26
1514,獨行俠,2021/5/17,121,22,38,35,26
1515,森林狼,2021/5/17,136,38,38,37,23
1516,?蜂,2021/5/19,117,24,21,33,39
1517,步行者,2021/5/19,144,40,29,39,36
1518,奇才,2021/5/19,100,21,33,26,20
1519,凱爾特人,2021/5/19,118,27,25,38,28
1520,馬刺,2021/5/20,96,19,30,16,31
1521,灰熊,2021/5/20,100,38,18,16,28
1522,勇士,2021/5/20,100,28,27,24,21
1523,湖人,2021/5/20,103,22,20,35,26
1524,步行者,2021/5/21,115,29,23,31,32
1525,奇才,2021/5/21,142,30,36,48,28
1526,灰熊,2021/5/22,117,30,32,16,21
1527,勇士,2021/5/22,112,29,20,24,26
1528,熱火,2021/5/23,107,24,26,28,21
1529,雄鹿,2021/5/23,109,22,31,27,19
1530,獨行俠,2021/5/23,113,33,27,26,27
1531,快船,2021/5/23,103,30,25,25,23
1532,凱爾特人,2021/5/23,93,21,32,20,20
1533,籃網,2021/5/23,104,16,31,31,26
1534,開拓者,2021/5/23,123,35,23,38,27
1535,掘金,2021/5/23,109,30,31,25,23
1536,奇才,2021/5/24,118,28,34,31,25
1537,76人,2021/5/24,125,27,34,38,26
1538,湖人,2021/5/24,90,25,20,23,22
1539,太陽,2021/5/24,99,32,21,28,18
1540,老鷹,2021/5/24,107,24,28,19,36
1541,尼克斯,2021/5/24,105,16,34,23,32
1542,灰熊,2021/5/24,112,17,32,34,29
1543,爵士,2021/5/24,109,24,19,31,35
1544,熱火,2021/5/25,98,20,31,27,20
1545,雄鹿,2021/5/25,132,46,32,29,25
1546,開拓者,2021/5/25,109,25,36,26,22
1547,掘金,2021/5/25,128,31,42,28,27
1548,凱爾特人,2021/5/26,108,26,21,35,26
1549,籃網,2021/5/26,130,40,31,38,21
1550,湖人,2021/5/26,109,30,23,26,30
1551,太陽,2021/5/26,102,24,23,25,30
1552,獨行俠,2021/5/26,127,35,36,30,26
1553,快船,2021/5/26,121,33,40,19,29
1554,奇才,2021/5/27,95,24,33,23,15
1555,76人,2021/5/27,120,35,36,23,26
1556,老鷹,2021/5/27,92,27,30,18,17
1557,尼克斯,2021/5/27,101,20,24,32,25
1558,灰熊,2021/5/27,129,27,27,43,32
1559,爵士,2021/5/27,141,36,38,29,38
1560,雄鹿,2021/5/28,113,26,23,37,27
1561,熱火,2021/5/28,84,14,22,24,24
1562,太陽,2021/5/28,95,28,12,23,32
1563,湖人,2021/5/28,109,27,16,33,33
1564,掘金,2021/5/28,120,39,25,20,36
1565,開拓者,2021/5/28,115,30,29,20,36
1566,尼克斯,2021/5/29,94,31,13,28,22
1567,老鷹,2021/5/29,105,29,29,28,19
1568,籃網,2021/5/29,119,32,25,27,35
1569,凱爾特人,2021/5/29,125,33,28,35,29
1570,快船,2021/5/29,118,31,32,26,29
1571,獨行俠,2021/5/29,108,34,27,25,22
1572,雄鹿,2021/5/30,120,22,35,34,29
1573,熱火,2021/5/30,103,26,38,21,18
1574,掘金,2021/5/30,95,24,23,19,29
1575,開拓者,2021/5/30,115,32,25,36,22
1576,76人,2021/5/30,132,36,36,37,23
1577,奇才,2021/5/30,103,28,30,28,17
1578,爵士,2021/5/30,121,34,28,34,25
1579,灰熊,2021/5/30,111,22,29,34,26
1580,尼克斯,2021/5/31,96,26,23,22,25
1581,老鷹,2021/5/31,113,25,28,35,25
1582,太陽,2021/5/31,100,23,31,27,19
1583,湖人,2021/5/31,92,24,26,15,27
1584,籃網,2021/5/31,141,33,40,39,29
1585,凱爾特人,2021/5/31,126,34,26,31,35
1586,快船,2021/5/31,106,31,30,21,24
1587,獨行俠,2021/5/31,81,22,23,15,21
1588,76人,2021/6/1,114,31,30,19,34
1589,奇才,2021/6/1,122,28,32,32,30
1590,爵士,2021/6/1,120,34,25,41,20
1591,灰熊,2021/6/1,113,31,23,33,26
1592,凱爾特人,2021/6/2,109,24,27,28,30
1593,籃網,2021/6/2,123,31,28,27,37
1594,開拓者,2021/6/2,140,25,37,32,27
1595,掘金,2021/6/2,147,38,27,27,29
1596,湖人,2021/6/2,85,26,10,27,22
1597,太陽,2021/6/2,115,34,32,26,23
1598,奇才,2021/6/3,112,29,34,31,18
1599,76人,2021/6/3,129,29,36,38,26
1600,老鷹,2021/6/3,103,21,31,22,29
1601,尼克斯,2021/6/3,89,21,26,15,27
1602,灰熊,2021/6/3,110,27,24,25,34
1603,爵士,2021/6/3,126,47,28,31,20
1604,獨行俠,2021/6/3,105,35,21,33,16
1605,快船,2021/6/3,100,28,26,21,25
1606,掘金,2021/6/4,126,29,32,37,28
1607,開拓者,2021/6/4,115,33,35,33,14
1608,太陽,2021/6/4,113,36,26,27,24
1609,湖人,2021/6/4,100,14,27,35,24
1610,快船,2021/6/5,104,26,22,25,31
1611,獨行俠,2021/6/5,97,28,17,32,20
1612,雄鹿,2021/6/6,107,32,29,23,23
