cid,gender,R,F,M,k-means
2009S4437845,M,428,1,680,3
2009S4437865,F,147,10,18358,2
2009S4437905,F,435,1,1249,3
2009S4437965,M,166,1,588,0
2009S4440125,F,24,1,3700,2
2009S4440165,F,452,1,1560,3
2009S4440233,M,192,3,2750,0
2009S4440373,F,516,1,780,1
2009S4440401,F,217,1,699,0
2009S4440441,F,193,2,2760,0
2009S4440497,F,2,11,40340,2
2009S4440533,M,102,3,3488,2
2009S4440749,F,223,1,2340,0
2009S4440913,F,312,1,1280,0
2009S4441725,M,18,3,11159,2
2009S4444173,F,83,7,21618,2
2009S4444197,M,306,1,780,0
2009S4444245,F,564,2,4070,1
2009S4444265,M,483,1,493,3
2009S4444285,F,398,1,270,3
2009S4444485,F,369,1,270,3
2009S4444945,F,336,1,38,3
2009S4444953,F,204,1,1186,0
2009S4445457,M,270,1,999,0
2009S4445497,F,305,1,780,0
2009S4448469,F,40,4,16262,2
2009S4448489,F,285,1,1076,0
2009S4448505,F,62,3,2844,2
2009S4448545,F,324,1,1998,0
2009S4448589,M,396,5,3958,3
2009S4448629,M,558,1,680,1
2009S4448677,F,14,10,23433,2
2009S4449541,M,7,1,229,2
2009S4449581,M,49,4,5629,2
2009S4449625,F,175,1,1186,0
2009S4449649,F,320,1,2320,0
2009S4449653,F,501,1,780,3
2009S4452057,M,635,1,1149,1
2009S4452445,M,188,1,1290,0
2009S4452833,M,483,1,1520,3
2009S4452945,M,553,3,12140,1
2009S4456129,F,559,1,150,1
2009S4456153,M,26,1,1295,2
2009S4456169,F,124,11,13325,2
2009S4456213,F,131,3,2216,2
2009S4457177,F,149,1,680,2
2009S4457441,M,347,3,3176,3
2009S4460053,M,600,1,580,1
2009S4460225,M,194,4,4910,0
2009S4460917,F,66,3,4562,2
2009S4464101,M,22,2,2220,2
2009S4464117,F,89,5,7249,2
2009S4464237,F,660,1,1986,1
2009S4464297,M,633,1,493,1
2009S4464373,F,19,4,4064,2
2009S4464741,F,384,2,3279,3
2009S4465329,F,447,1,1380,3
2009S4468093,F,417,2,17825,3
2009S4468141,F,398,1,680,3
2009S4468741,F,168,1,1380,0
2009S4468781,F,174,4,7590,0
2009S4469113,F,602,1,1380,1
2009S4472537,F,215,1,2476,0
2009S4472825,F,19,1,999,2
2009S4472921,M,147,1,680,2
2009S4472925,F,36,11,21383,2
2009S4472929,F,27,1,2760,2
2009S4473173,M,233,2,1340,0
2009S4476101,F,213,1,2580,0
2009S4476393,M,37,5,8159,2
2009S4476877,M,146,6,6043,2
2009S4480057,M,532,1,1520,1
2009S4480077,F,569,1,580,1
2009S4480341,M,658,1,1976,1
2009S4480361,F,316,1,660,0
2009S4480453,F,438,1,699,3
2009S4480589,F,160,1,38,0
2009S4480609,F,14,21,38120,2
2009S4480657,F,205,1,1629,0
2009S4484257,F,311,2,1160,0
2009S4484297,F,200,1,1629,0
2009S4484361,M,331,1,1319,0
2009S4484585,M,50,7,6878,2
2009S4485013,F,89,1,150,2
2009S4485429,F,266,1,1512,0
2009S4485473,F,594,1,689,1
2009S4488225,M,229,4,4775,0
2009S4488345,M,142,3,4500,2
2009S4488377,F,210,1,2498,0
2009S4488745,M,607,1,493,1
2009S4488961,F,331,3,4653,0
2009S4489233,M,181,4,9040,0
2009S4489489,F,567,1,1598,1
2009S4489729,F,41,2,1078,2
2009S4489789,M,462,1,249,3
2009S4489801,F,532,1,986,1
2009S4492165,M,304,3,3727,0
2009S4492185,F,41,1,980,2
2009S4492245,F,398,1,680,3
2009S4492397,M,557,2,2060,1
2009S4492845,F,277,3,2115,0
2009S4492889,F,489,3,5365,3
2009S4493209,F,65,7,50446,2
2009S4493365,M,379,3,4650,3
2009S4493417,F,521,1,729,1
2009S4496157,F,211,1,593,0
2009S4496409,F,69,3,6466,2
2009S4496517,M,179,3,6797,0
2009S4496869,F,47,4,3558,2
2009S4497049,F,91,2,1475,2
2009S4497061,M,132,1,600,2
2009S4497113,F,540,2,3450,1
2009S4497137,F,198,1,1948,0
2009S4497213,F,492,1,1398,3
2009S4497257,M,211,2,1183,0
2009S4497517,F,233,2,300,0
2009S4500069,M,40,1,229,2
2009S4500097,M,550,1,680,1
2009S4500101,F,335,1,2560,3
2009S4500225,F,129,2,1779,2
2009S4500305,F,81,3,4883,2
2009S4500433,M,90,9,13613,2
2009S4500513,M,589,1,493,1
2009S4500537,F,501,3,5196,3
2009S4500569,F,19,6,15575,2
2009S4500721,F,299,2,2342,0
2009S4501129,F,78,5,7660,2
2009S4501201,F,24,1,1380,2
2009S4504241,F,65,12,22530,2
2009S4504269,F,613,1,1527,1
2009S4504369,F,639,1,1099,1
2009S4504533,F,90,1,1170,2
2009S4504709,F,58,5,9584,2
2009S4504733,F,286,1,998,0
2009S4508109,F,546,1,493,1
2009S4508849,F,88,5,5370,2
2009S4508869,M,214,2,1571,0
2009S4509033,F,472,3,4140,3
2009S4512093,F,491,1,1160,3
2009S4512109,F,249,1,1380,0
2009S4512137,M,230,5,5836,0
2009S4512621,F,416,1,3517,3
2009S4512669,F,172,1,339,0
2009S4512993,M,145,1,35,2
2009S4516173,F,611,2,2864,1
2009S4516337,F,194,1,689,0
2009S4516573,M,2,2,5550,2
2009S4516741,M,54,2,3075,2
2009S4516789,F,90,1,66,2
2009S4516997,M,510,1,2340,1
2009S4517013,F,410,3,5658,3
2009S4517017,F,141,3,5679,2
2009S4517141,M,282,2,2459,0
2009S4517349,F,104,1,593,2
2009S4520369,M,280,1,499,0
2009S4520381,F,11,5,6680,2
2009S4520465,F,304,2,2760,0
2009S4520497,M,301,2,2192,0
2009S4520509,M,269,2,2676,0
2009S4520869,M,425,1,1380,3
2009S4520909,F,134,3,4213,2
2009S4804737,M,231,1,1380,0
2009S4808221,M,228,3,657,0
2009S4812953,M,117,5,5327,2
2009S4813157,M,74,1,150,2
2009S4816173,F,204,1,165,0
2009S4816221,F,207,2,3568,0
2009S4816457,M,664,1,988,1
2009S4820105,M,72,8,11468,2
2009S4820345,F,20,5,17206,2
2009S4820545,F,117,1,458,2
2009S4820565,F,236,1,990,0
2009S4820741,F,64,11,37293,2
2009S4820885,M,276,1,150,0
2009S4820897,M,386,1,1290,3
2009S4821025,F,210,1,1199,0
2009S4821061,F,391,3,4260,3
2009S4821269,M,17,1,3700,2
2009S4824161,F,604,1,1380,1
2009S4824817,M,103,2,6486,2
2009S4824825,F,366,4,5548,3
2009S4824905,F,15,1,2289,2
2009S4825201,F,537,1,2340,1
2009S4825629,F,286,1,1380,0
2009S4825753,F,378,1,270,3
2009S4825777,M,648,1,580,1
2009S4825793,F,5,1,1186,2
2009S4825889,F,259,6,13273,0
2009S4825905,F,97,1,339,2
2009S4828385,M,167,1,1080,0
2009S4828805,F,122,2,1567,2
2009S4828849,M,435,1,1380,3
2009S4829221,M,118,2,7020,2
2009S4829385,F,390,2,1153,3
2009S4829517,F,490,1,680,3
