cid,gender,R,F,M,k-means
2015S4096173,F,467,2,1592,3
2015S4096201,F,573,1,493,1
2015S4096437,F,75,1,998,2
2015S4096477,M,460,1,493,3
2015S4096485,F,183,5,4755,0
2015S4100093,F,668,1,3996,1
2015S4100101,F,59,2,2370,2
2015S4100193,M,461,2,5078,3
2015S4100337,F,657,1,998,1
2015S4100341,M,304,2,3754,0
2015S4100357,M,286,2,1527,0
2015S4104129,F,363,1,1380,3
2015S4104153,F,54,1,593,2
2015S4104181,F,249,1,219,0
2015S4108141,M,13,1,593,2
2015S4108185,F,410,1,2994,3
2015S4112205,F,82,2,6080,2
2015S4112301,F,299,2,2488,0
2015S4112345,F,150,3,2236,2
2015S4112385,F,628,1,988,1
2015S4112393,F,478,1,493,3
2015S4112397,M,480,1,150,3
2015S4112413,M,43,2,4140,2
2015S4116089,F,193,1,699,0
2015S4116233,M,31,3,2053,2
2015S4116257,F,342,1,270,3
2015S4116277,M,488,1,1160,3
2015S4116325,F,86,6,5353,2
2015S4120053,F,164,2,2139,0
2015S4120065,F,195,3,8044,0
2015S4120085,M,663,1,1099,1
2015S4120089,F,11,8,22648,2
2015S4120233,M,99,1,3495,2
2015S412181,M,312,1,867,0
2015S412297,M,99,1,998,2
2015S4124105,M,384,1,880,3
2015S4124193,F,194,1,2580,0
2015S4124593,M,227,6,11184,0
2015S412605,M,222,1,999,0
2015S412705,M,188,5,6050,0
2015S412753,M,293,2,1777,0
2015S412785,M,651,1,1099,1
2015S412885,F,517,1,988,1
2015S412913,F,187,9,6545,0
2015S412949,M,295,2,2149,0
2015S413021,M,116,4,6179,2
2015S416101,F,503,1,580,3
2015S416125,M,109,3,9660,2
2015S416149,F,344,1,2559,3
2015S416173,M,102,3,4140,2
2015S416189,M,292,1,1998,0
2015S416341,F,279,1,1904,0
2015S416353,M,123,1,600,2
2015S416449,M,20,3,5680,2
2015S416513,M,124,3,3400,2
2015S416589,F,61,2,5544,2
2015S416601,M,639,1,1099,1
2015S416785,M,632,1,493,1
2015S416901,F,104,1,998,2
2015S416937,M,271,1,780,0
2015S416957,M,105,1,2695,2
2015S416973,M,569,1,1360,1
2015S416981,M,390,1,1290,3
2015S420213,M,628,1,150,1
2015S420365,F,277,2,1647,0
2015S420385,M,281,1,150,0
2015S424073,F,52,2,2058,2
2015S424081,F,195,1,20700,0
2015S424125,M,9,8,11407,2
2015S424137,F,17,3,1758,2
2015S424193,F,294,1,499,0
2015S424309,M,414,1,986,3
2015S428093,M,28,5,5656,2
2015S428185,M,147,3,2555,2
2015S428257,M,68,1,1520,2
2015S428273,F,452,1,1249,3
2015S428297,M,314,1,689,0
2015S428385,M,483,2,1978,3
2015S432133,F,42,2,1860,2
2015S432161,F,127,1,680,2
2015S432201,F,419,1,3276,3
2015S432233,F,358,1,539,3
2015S432273,F,667,1,689,1
2015S432369,F,35,3,4000,2
2015S436113,F,12,27,81523,2
2015S436117,F,46,6,12617,2
2015S436149,M,518,3,3520,1
2015S436189,F,202,3,12120,0
2015S436337,M,224,2,1014,0
2015S436385,F,33,3,2997,2
2015S436393,F,593,2,1598,1
2015S440145,F,249,1,2318,0
2015S440153,F,451,1,2571,3
2015S440213,M,647,1,580,1
2015S440229,M,367,2,6578,3
2015S440265,F,403,1,493,3
2015S4404061,M,165,5,8259,0
2015S4404089,F,140,4,5520,2
2015S4404129,F,397,1,1040,3
2015S4404153,F,542,2,3566,1
2015S4404213,M,420,2,1996,3
2015S4404305,F,62,4,3626,2
2015S4404337,M,534,1,2160,1
2015S4404353,M,469,1,150,3
2015S4404425,M,318,3,15031,0
2015S4404437,F,363,1,99,3
2015S4404473,F,138,1,999,2
2015S4404573,M,19,6,10140,2
2015S4404665,M,146,1,780,2
2015S440485,M,464,1,849,3
2015S440509,M,24,5,5349,2
2015S440525,F,18,3,3344,2
2015S440597,F,320,1,2560,0
2015S440621,F,5,1,3579,2
2015S440633,M,80,2,2850,2
2015S440705,F,658,1,1040,1
2015S440717,M,550,3,6539,1
2015S440777,F,419,1,1996,3
2015S4408057,F,466,1,998,3
2015S4408081,F,314,1,1170,0
2015S4408105,F,96,3,2653,2
2015S4408165,F,17,9,12108,2
2015S4408201,M,254,2,1378,0
2015S4408205,M,256,9,14914,0
2015S4408245,F,284,1,799,0
2015S4408285,M,551,1,2560,1
2015S440933,M,380,1,3360,3
2015S440937,F,449,1,1560,3
2015S440969,F,215,2,2996,0
2015S4412057,M,383,2,3698,3
2015S4412105,M,263,5,19740,0
2015S4412121,F,471,3,2017,3
2015S4412149,F,532,2,3960,1
2015S4412157,M,266,1,998,0
2015S4416101,F,203,1,1798,0
2015S4416117,F,80,2,1940,2
2015S4416165,M,61,2,1078,2
2015S4416185,M,575,4,5464,1
2015S4416193,M,279,1,1298,0
2015S4416221,F,34,6,8783,2
2015S4416265,M,547,7,4873,1
2015S4416321,M,489,1,3040,3
2015S4416333,M,194,1,1290,0
2015S4420081,M,85,4,5743,2
2015S4420105,F,168,2,1950,0
2015S4420125,F,68,1,1680,2
2015S4420133,F,174,4,9092,0
2015S4420137,F,32,9,23968,2
2015S4420141,F,568,2,2880,1
2015S4420153,M,368,1,2760,3
2015S4420201,F,632,1,1380,1
2015S4420261,F,643,1,1380,1
2015S4420305,F,613,1,1380,1
2015S4420313,F,360,1,3360,3
2015S4424133,M,16,3,3479,2
2015S4424141,M,482,1,1170,3
2015S4424165,F,403,3,2926,3
2015S4424193,F,444,1,998,3
2015S4424217,F,417,1,1380,3
2015S4424273,M,447,5,3493,3
2015S4428081,M,126,3,4229,2
2015S4428105,F,173,3,5420,0
2015S4428149,M,5,6,4943,2
2015S4428281,F,70,4,9498,2
2015S4428349,F,25,1,980,2
2015S4428565,M,7,13,31315,2
2015S4428585,F,274,4,7020,0
2015S4432137,F,245,1,1170,0
2015S4432217,M,328,2,1421,0
2015S4432253,F,171,4,353,0
2015S4432293,F,52,2,1230,2
2015S4432537,F,302,1,2193,0
2015S4432565,F,650,2,6027,1
2015S4432581,M,103,1,1170,2
2015S4436085,M,115,1,690,2
2015S4440069,M,46,2,2460,2
2015S4440129,M,285,3,1875,0
2015S4440133,F,545,2,1979,1
2015S4440225,M,355,2,6119,3
2015S4440249,F,109,3,6250,2
2015S4440281,M,22,1,1680,2
2015S444169,F,6,7,7606,2
2015S444201,M,123,2,4477,2
2015S444301,M,18,5,6600,2
2015S444321,M,11,2,2317,2
2015S444405,M,661,1,988,1
2015S4444113,F,113,1,1170,2
2015S4444265,F,115,1,998,2
2015S444469,M,288,1,999,0
2015S444537,F,68,1,1380,2
2015S444545,F,616,1,1438,1
2015S444733,M,258,2,3445,0
2015S444741,F,113,1,1249,2
2015S444781,F,608,1,1170,1
2015S4448069,F,559,1,1380,1
2015S4448309,F,640,1,999,1
2015S4448329,M,423,1,493,3
2015S4448333,M,390,3,9375,3
2015S4448341,M,301,1,1996,0
2015S444837,F,641,1,1560,1
2015S444845,F,327,3,4140,0
2015S444877,F,95,1,593,2
2015S444913,M,506,1,699,1
2015S4452089,F,22,8,11275,2
2015S4452097,M,555,2,1960,1
2015S4452117,M,102,2,1860,2
2015S4452133,F,414,1,680,3
2015S4452225,M,174,2,3640,0
2015S4452357,M,655,1,520,1
2015S4452377,F,456,1,998,3
2015S4452449,F,232,1,1199,0
2015S4456069,F,433,5,3680,3
2015S4456073,F,41,3,5834,2
2015S4456077,F,8,6,7747,2
2015S4456085,F,123,2,2079,2
2015S4456181,F,639,1,4790,1
2015S4456237,M,115,5,3439,2
2015S4456317,F,195,1,339,0
2015S4456333,F,202,4,35610,0
2015S4456413,F,46,1,1299,2
2015S4456513,F,378,1,1820,3
2015S4456521,F,623,1,493,1
2015S4456541,M,182,3,6960,0
2015S4456557,M,10,6,9697,2
2015S4456593,F,271,2,1988,0
2015S4456685,M,258,1,4050,0
2015S4456689,M,193,4,6210,0
2015S4460125,M,383,2,3360,3
2015S4460133,M,596,1,800,1
2015S4460209,M,422,1,1180,3
2015S4460229,M,322,4,3225,0
2015S4460337,F,334,1,1170,3
2015S4460357,M,385,1,1160,3
2015S4460469,M,22,12,43148,2
2015S4460481,F,82,2,5356,2
2015S4460497,M,159,4,4290,0
2015S4460541,F,411,1,1860,3
2015S4460553,F,194,9,12419,0
2015S4460605,F,381,1,660,3
2015S4464085,M,2,1,229,2
2015S4464157,F,120,2,20400,2
2015S4464193,M,556,1,1280,1
2015S4464213,F,79,5,11168,2
2015S4464293,F,125,5,13740,2
2015S4464325,F,180,1,1380,0
2015S4468173,F,176,1,1290,0
2015S4468201,M,53,3,4458,2
2015S4468269,F,262,2,7277,0
2015S4468273,F,368,1,2905,3
2015S4468365,M,418,1,1380,3
2015S4472081,F,584,1,559,1
2015S4472109,M,146,2,458,2
2015S4472357,F,576,1,2040,1
2015S4472417,F,604,1,1680,1
2015S4476077,F,292,1,2198,0
2015S4476177,F,113,3,2097,2
2015S4476253,F,466,2,1903,3
2015S4476349,M,621,1,1380,1
2015S4476377,M,650,1,1099,1
2015S4480133,F,615,1,878,1
2015S4480157,M,193,1,1520,0
2015S4480181,F,569,1,520,1
2015S4480297,M,659,1,698,1
2015S4480305,M,149,3,4223,2
2015S4480337,M,531,2,1470,1
2015S4480401,M,419,2,2700,3
2015S448101,M,307,1,999,0
2015S448125,M,658,1,1356,1
2015S448133,F,439,1,1335,3
2015S448169,F,12,4,5150,2
2015S448193,M,287,1,1560,0
2015S448217,F,26,5,7829,2
2015S448349,F,586,1,150,1
2015S448397,F,244,1,1380,0
2015S448401,M,54,1,780,2
2015S4484061,M,271,1,339,0
2015S4484125,F,55,1,998,2
2015S4484153,M,196,3,2120,0
2015S4484289,M,20,10,14468,2
2015S4484305,F,48,2,4284,2
2015S4484325,M,558,1,249,1
2015S4484365,F,130,1,2040,2
2015S4484373,F,187,1,1290,0
2015S4484617,F,574,1,1280,1
2015S4488105,F,390,5,5112,3
2015S4488189,F,307,2,5380,0
2015S4488253,F,104,2,2760,2
2015S4488269,F,407,2,782,3
2015S4488341,M,44,1,593,2
2015S4488345,M,510,1,999,1
2015S4488449,M,629,1,1380,1
2015S4488493,F,33,5,5458,2
2015S4488505,F,223,1,300,0
2015S4488561,F,506,1,1520,1
2015S4488617,F,575,1,742,1
2015S4488661,F,265,1,968,0
2015S4488689,M,285,3,5760,0
2015S4492113,M,332,2,2379,3
2015S4492133,F,10,1,76,2
2015S4492185,M,567,1,493,1
2015S4492197,M,1,2,3358,2
2015S4496093,F,163,5,4585,0
2015S4496101,M,506,1,580,1
2015S4496109,F,73,2,1219,2
2015S4496189,F,148,1,559,2
2015S4496213,M,59,5,6900,2
2015S4496305,F,10,4,8154,2
2015S4496381,F,61,1,2560,2
2015S4496385,M,196,2,420,0
2015S4496397,M,378,2,1710,3
2015S4496405,F,307,2,1986,0
2015S4496413,M,625,1,2050,1
2015S4500117,M,158,2,2160,0
2015S4500169,M,42,10,9482,2
2015S4500201,F,470,1,493,3
2015S4500205,F,223,1,1380,0
2015S4500229,F,302,1,1998,0
2015S4500265,F,181,5,5846,0
2015S4500289,M,504,1,580,3
2015S4500365,F,469,1,2340,3
2015S4504153,M,139,3,3365,2
2015S4504193,F,360,1,990,3
2015S4504261,F,254,1,1960,0
2015S4504321,F,139,3,2032,2
2015S4504369,F,514,1,229,1
2015S4508089,M,19,1,686,2
2015S4508109,M,345,1,1837,3
2015S4508177,F,52,7,11704,2
2015S4508313,M,551,1,690,1
2015S4508357,F,390,1,330,3
2015S4508369,M,344,1,1998,3
2015S4512061,F,635,1,1435,1
2015S4512237,M,630,1,539,1
2015S4512249,F,30,1,999,2
2015S4512409,F,496,1,1560,3
2015S4512573,F,651,1,790,1
2015S4516053,M,145,4,3583,2
2015S4516073,M,523,1,880,1
2015S4516149,M,506,1,580,1
2015S4516301,F,97,2,2530,2
2015S4516349,F,173,3,7119,0
2015S4516353,F,166,4,7358,0
2015S4516385,M,236,2,2460,0
2015S4520093,F,664,1,1520,1
2015S4520153,M,125,2,3831,2
2015S4520205,F,68,5,8960,2
2015S4520329,M,187,1,339,0
2015S4520333,F,298,1,1497,0
2015S452081,F,18,2,2890,2
2015S452153,M,163,1,1998,0
2015S452233,F,154,1,390,2
2015S452281,M,423,2,1258,3
2015S452385,M,230,1,559,0
2015S452481,F,516,1,580,1
2015S452497,F,84,5,12578,2
2015S456089,M,46,14,45009,2
2015S456097,F,479,4,4686,3
2015S456161,M,401,1,998,3
2015S456169,F,93,1,1249,2
2015S456181,M,416,2,2580,3
2015S456193,F,380,2,8321,3
2015S456209,F,343,4,10512,3
2015S456237,M,68,1,1380,2
2015S456289,F,421,1,1170,3
2015S456369,F,491,1,1180,3
2015S456377,F,117,2,1273,2
2015S460133,F,475,1,150,3
2015S460137,M,74,6,10776,2
2015S460153,M,285,1,1298,0
2015S460189,M,348,1,499,3
2015S460221,F,650,1,150,1
2015S460301,M,660,1,1099,1
2015S464121,F,258,1,2994,0
2015S464141,M,364,1,1680,3
2015S464221,F,523,2,1320,1
2015S464281,F,112,3,2994,2
2015S464301,M,276,1,499,0
2015S464377,M,14,1,593,2
2015S464389,F,466,1,880,3
2015S464465,F,553,1,1280,1
2015S468057,F,488,1,559,3
2015S468129,M,285,1,649,0
2015S468185,F,611,1,1976,1
2015S468321,M,104,1,3700,2
2015S468341,F,517,1,4220,1
2015S468373,M,216,2,3640,0
2015S468445,M,597,1,800,1
2015S468553,M,209,2,19350,0
2015S468557,M,342,1,999,3
2015S468661,M,426,1,1298,3
2015S468717,F,24,4,5036,2
2015S468817,M,523,1,2250,1
2015S472133,M,334,1,3149,3
2015S472157,M,424,3,4400,3
2015S472233,M,441,2,4274,3
2015S472401,M,403,3,4140,3
2015S472417,F,530,1,493,1
2015S472437,M,111,4,5441,2
2015S472469,M,46,6,6850,2
2015S472549,F,355,1,435,3
2015S472597,F,271,1,150,0
2015S472785,F,18,6,18154,2
2015S472809,M,200,2,2570,0
2015S472925,F,42,3,7734,2
2015S472945,M,5,10,24593,2
2015S472981,F,21,3,4578,2
2015S473013,F,106,3,22088,2
2015S476057,F,159,1,998,0
2015S476077,M,18,2,1310,2
2015S476085,F,664,1,988,1
2015S476225,M,570,1,6400,1
2015S476257,F,324,1,2340,0
2015S476381,F,645,1,986,1
2015S476385,M,172,2,1473,0
2015S480153,M,85,1,339,2
2015S480189,F,50,3,7720,2
2015S480269,M,575,1,1180,1
2015S480281,F,61,1,249,2
2015S480329,F,459,2,3996,3
2015S4804089,M,596,1,1456,1
2015S4804105,M,224,1,1960,0
2015S4804177,M,212,2,6640,0
2015S4804201,M,336,2,2378,3
2015S4804229,M,475,1,249,3
2015S4804325,M,233,3,3143,0
2015S4808093,F,608,1,1380,1
2015S4808261,F,14,4,6158,2
2015S4808369,M,497,2,1323,3
2015S4812229,F,148,4,3189,2
2015S4816117,F,420,1,1380,3
2015S4816153,F,11,3,6450,2
2015S4816169,F,1,2,1519,2
2015S4816245,M,92,9,12059,2
2015S4816329,M,112,6,11091,2
2015S4820081,F,517,1,580,1
2015S4820361,F,472,2,3378,3
2015S4820369,M,15,2,2389,2
2015S4820409,M,230,2,2358,0
2015S4820433,M,440,2,3340,3
2015S4820553,M,641,1,988,1
2015S4820653,F,318,1,559,0
2015S4820657,F,153,1,600,2
2015S4820721,M,662,1,1099,1
2015S4820737,F,377,1,1290,3
2015S4820741,M,30,1,3700,2
2015S4820849,M,496,1,580,3
2015S4820857,F,564,1,1280,1
2015S4820873,M,26,3,1028,2
2015S4824065,F,634,1,9990,1
2015S4824157,F,502,3,5656,3
2015S4824265,F,579,1,289,1
2015S4824273,F,634,1,229,1
2015S4824369,F,138,1,150,2
2015S4824377,F,559,1,1880,1
2015S4824409,M,117,3,3350,2
2015S4824509,M,425,1,1520,3
2015S4824549,M,354,2,2994,3
2015S4824581,F,528,1,1280,1
2015S4824585,F,420,8,9676,3
2015S4824717,M,594,1,1680,1
2015S4824721,F,125,1,1850,2
2015S4824745,F,656,2,747,1
2015S4824865,M,260,1,968,0
2015S4828085,M,105,1,980,2
2015S4828109,M,433,2,3940,3
2015S4828169,M,259,2,2079,0
2015S4828293,F,57,7,7393,2
2015S4828317,M,54,3,3740,2
2015S4828401,F,494,2,1566,3
2015S4832093,F,231,1,299,0
2015S4832205,M,3,5,6510,2
2015S4832225,F,468,1,699,3
2015S4832237,F,221,2,2570,0
2015S4832269,F,165,1,1280,0
2015S4832337,M,84,2,4200,2
2015S4836061,M,471,1,2378,3
2015S4836173,M,257,1,1380,0
2015S4836225,M,575,1,1280,1
2015S4836233,M,18,9,23920,2
2015S4836249,F,444,1,1697,3
2015S4836305,M,370,4,8196,3
2015S4836445,F,527,2,478,1
2015S4840157,F,276,1,593,0
2015S4840225,F,5,9,13478,2
2015S4840241,M,17,4,5988,2
2015S4840433,M,501,1,909,3
2015S4840441,F,323,1,2397,0
2015S4840453,F,3,1,1080,2
2015S484069,M,606,2,1628,1
2015S484085,F,586,1,988,1
2015S484273,M,510,1,998,1
2015S484345,M,375,1,1249,3
2015S4844069,M,145,1,680,2
2015S484413,F,523,1,580,1
2015S4844133,F,190,1,690,0
2015S4844201,M,75,2,1349,2
2015S4844337,F,115,5,1616,2
2015S4844357,F,626,1,1099,1
2015S484509,M,558,1,1380,1
2015S4848065,F,83,1,229,2
2015S4848129,F,306,2,2640,0
2015S4848137,F,552,1,799,1
2015S4848149,M,574,1,2560,1
2015S4848161,M,184,1,593,0
2015S4848193,M,276,1,1497,0
2015S4848305,F,544,3,5250,1
2015S4848333,M,439,1,520,3
2015S4848377,F,446,1,689,3
2015S4848429,M,633,1,325,1
2015S4848489,M,643,1,2028,1
2015S4848661,M,240,3,9840,0
2015S4852069,F,587,1,695,1
2015S4852101,M,21,6,4095,2
2015S4852137,M,246,2,3000,0
2015S4852269,M,574,3,2236,1
2015S4852301,M,523,1,1170,1
2015S4852589,F,199,3,2312,0
2015S4852613,M,418,4,4982,3
2015S4852737,F,143,4,7550,2
2015S4852793,F,13,1,999,2
2015S4856089,M,340,2,8857,3
2015S4856161,F,219,4,4337,0
2015S4856297,F,192,1,980,0
2015S4856373,F,164,2,2078,0
2015S4860073,M,443,1,1040,3
2015S4860081,F,369,1,1290,3
2015S4860169,F,293,2,2529,0
2015S4860213,F,545,1,325,1
2015S4860221,F,169,6,10275,0
2015S4860249,F,384,4,8243,3
2015S4864117,M,602,1,1170,1
2015S4864193,F,249,1,1299,0
2015S4864201,M,508,3,2759,1
2015S4864209,F,331,1,1998,0
2015S4864237,F,7,3,2257,2
2015S4864289,F,414,10,21207,3
2015S4864389,M,210,7,11503,0
2015S4868065,F,437,1,580,3
2015S4868121,F,654,1,580,1
2015S4868177,M,203,4,3933,0
2015S4868289,M,358,1,690,3
2015S4868365,M,257,2,1279,0
2015S4872109,M,495,1,1976,3
2015S4872193,M,146,4,5529,2
2015S4872305,F,597,2,11978,1
2015S4872365,M,175,1,5160,0
2015S4876053,M,142,1,950,2
2015S4876093,F,4,2,4808,2
2015S4876189,M,3,2,1119,2
2015S4876221,M,559,1,249,1
2015S4876361,M,3,5,6834,2
2015S4876429,F,174,3,11241,0
2015S4876461,M,329,1,539,0
2015S4876469,F,366,5,6370,3
2015S4876545,M,381,4,3793,3
2015S4876569,F,202,3,13120,0
2015S4876573,F,75,1,1057,2
2015S4876617,F,77,6,13148,2
2015S4880097,F,222,1,1360,0
2015S4880173,M,194,3,3568,0
2015S4880193,F,362,2,3838,3
2015S4880209,F,356,2,2760,3
2015S4880301,M,320,1,870,0
2015S4880345,F,524,2,1840,1
2015S4880361,M,265,1,699,0
2015S4880401,F,163,1,1998,0
2015S4880405,M,628,1,1169,1
2015S4880469,M,243,3,2297,0
2015S4880513,F,14,2,1560,2
2015S4880613,M,388,1,1249,3
2015S4880709,F,170,4,4359,0
2015S4880721,M,90,1,888,2
2015S4880765,M,49,1,38,2
2015S4880793,F,586,1,2760,1
2015S4880821,F,453,1,1249,3
2015S4880893,M,412,2,3036,3
2015S4880925,F,119,1,680,2
2015S4881021,F,462,3,2039,3
2015S4881029,M,255,2,1764,0
2015S488237,F,30,3,3450,2
2015S488277,F,411,2,3058,3
2015S488349,F,364,1,930,3
2015S488369,F,321,1,998,0
2015S488385,F,618,1,520,1
2015S4884089,M,580,1,493,1
2015S4884097,F,376,1,2580,3
2015S4884113,M,19,1,1428,2
2015S4884185,F,19,3,2871,2
2015S4884301,M,312,1,1078,0
2015S4884321,F,356,1,780,3
2015S4884325,M,306,1,780,0
2015S4884385,F,23,1,1186,2
2015S4884389,F,548,1,1118,1
2015S4884397,M,188,3,3150,0
2015S4888065,M,495,2,1460,3
2015S4888209,F,49,2,1469,2
2015S4888341,M,154,1,680,2
2015S4892085,F,548,1,493,1
2015S4892161,F,601,1,1169,1
2015S4892193,F,571,2,3940,1
2015S4892205,F,78,2,3168,2
2015S4892225,M,110,2,2079,2
2015S4892285,F,363,1,1560,3
2015S4892289,F,626,1,1099,1
2015S4892333,M,54,5,5368,2
2015S4892421,M,23,5,10512,2
2015S4896117,F,275,2,1430,0
2015S4896129,M,643,1,1560,1
2015S4896153,M,35,7,9986,2
2015S4896233,M,21,5,13969,2
2015S4896273,M,21,9,15073,2
2015S4896289,F,271,1,1226,0
2015S4900077,F,158,2,2012,0
2015S4900097,F,345,1,499,3
2015S4900169,F,522,4,3493,1
2015S4900197,M,220,2,2312,0
2015S4900253,M,554,1,1360,1
2015S4900285,F,475,1,493,3
2015S4900289,F,493,1,1380,3
2015S4900301,F,566,1,680,1
2015S4904061,F,293,2,2688,0
2015S4904065,F,441,2,2476,3
2015S4904069,M,147,4,7365,2
2015S4904193,M,501,1,1458,3
2015S4904205,M,11,1,593,2
2015S4904237,F,312,1,1280,0
2015S4904269,M,499,2,5389,3
2015S4904273,F,180,4,6070,0
2015S4904281,F,20,3,7589,2
2015S4904305,M,160,1,1520,0
2015S4904385,F,626,2,2079,1
2015S4904397,M,68,2,3900,2
2015S4904457,F,573,1,1180,1
2015S4908065,M,443,1,1040,3
2015S4908129,M,17,9,12802,2
2015S4908157,M,517,1,3040,1
2015S4908317,F,467,1,659,3
2015S4908497,M,153,7,3812,2
2015S4912053,F,138,1,999,2
2015S4912073,F,551,2,3278,1
2015S4912085,F,254,5,13846,0
2015S4912093,M,493,1,229,3
2015S4912101,M,34,2,3927,2
2015S4912181,F,507,1,680,1
2015S4912229,F,562,1,150,1
2015S4916077,M,657,1,988,1
2015S4916097,F,234,1,2318,0
2015S4916189,M,518,1,1520,1
2015S4916265,F,602,1,1792,1
2015S4916337,F,117,1,1560,2
2015S4916489,F,119,10,38740,2
2015S4920085,M,381,4,7738,3
2015S4920301,M,271,1,1697,0
2015S492181,F,616,1,780,1
2015S492213,F,204,4,5790,0
2015S492233,M,19,7,44389,2
2015S492257,F,84,1,998,2
2015S492285,M,133,1,680,2
2015S492317,F,518,1,988,1
2015S492397,M,131,5,17996,2
2015S4924081,F,152,9,7490,2
2015S4924197,F,172,2,4020,0
2015S4924225,F,219,1,3040,0
2015S4924261,F,607,1,1599,1
2015S4924297,F,199,3,10290,0
2015S4924309,M,83,2,13890,2
2015S496085,F,103,1,1080,2
2015S496101,F,279,1,2204,0
2015S496125,M,135,4,4751,2
2015S496193,F,149,1,999,2
2015S496221,M,237,1,3222,0
2015S496293,M,669,1,1490,1
2015S496313,M,639,1,938,1
2015S496345,F,83,6,7689,2
2015S496349,F,223,6,9294,0
2015S496397,F,11,5,18252,2
2015S496449,F,16,8,30578,2
2015S496493,F,363,1,1909,3
2015S496517,M,434,1,559,3
2015S496577,F,433,2,5139,3
2015S496653,F,614,1,520,1
2015S496713,M,273,1,559,0
2015S496789,M,327,2,2760,0
2015S496825,M,316,1,435,0
2015S496933,F,627,1,493,1
2015S500065,F,659,2,15200,1
2015S500077,F,19,7,9633,2
2015S500113,M,655,1,2760,1
2015S500225,F,41,7,9360,2
2015S500285,F,110,2,2330,2
2015S500337,F,173,2,1989,0
2015S500349,F,110,2,2705,2
2015S500441,F,210,1,2810,0
2015S500469,M,321,1,777,0
2015S500625,M,293,7,10179,0
2015S500713,M,363,1,689,3
2015S500785,F,607,1,3360,1
2015S500789,F,196,7,11804,0
2015S500809,M,647,1,1520,1
2015S500833,M,224,7,15624,0
2015S500869,F,96,10,14219,2
2015S500877,F,37,2,2260,2
2015S500881,M,6,3,4868,2
2015S500913,F,21,15,35325,2
2015S500965,M,236,1,1660,0
2015S501001,F,70,4,5850,2
2015S501013,F,524,2,6900,1
2015S501057,F,258,1,38,0
2015S501069,M,92,2,4290,2
2015S501165,F,573,1,1280,1
2015S504201,F,255,1,680,0
2015S504265,M,626,1,1435,1
2015S504329,M,599,1,880,1
2015S504333,F,549,1,986,1
2015S504377,F,414,1,270,3
2015S508085,F,570,1,493,1
2015S508125,F,506,3,7189,1
2015S508169,M,626,1,988,1
2015S508365,M,413,1,2080,3
2015S508369,F,175,1,593,0
2015S512061,F,427,1,680,3
2015S512193,M,328,1,777,0
2015S512273,F,22,4,4049,2
2015S512293,M,201,2,1773,0
2015S512329,M,19,4,4348,2
2015S516061,F,269,1,3718,0
2015S516097,M,316,1,580,0
2015S516121,F,596,1,998,1
2015S516193,F,360,1,699,3
2015S516265,M,32,5,5476,2
2015S516317,M,611,2,1078,1
2015S516369,M,131,4,3533,2
2015S516429,F,124,2,1998,2
2015S516445,M,588,1,289,1
2015S516461,F,465,1,680,3
2015S520309,F,251,1,2398,0
2015S524109,M,105,3,5424,2
2015S524205,M,391,1,1079,3
2015S524269,F,281,2,3078,0
2015S524321,F,609,1,1976,1
2015S524565,M,406,1,1170,3
2015S524681,F,545,1,1170,1
2015S804125,M,265,2,3852,0
2015S804181,F,642,1,1040,1
2015S804265,M,474,1,1170,3
2015S804277,F,40,2,3168,2
2015S804405,F,219,2,6281,0
2015S804525,F,306,2,1118,0
2015S804609,M,19,4,8432,2
2015S804629,F,490,1,1160,3
2015S804721,M,321,1,2340,0
2015S804809,M,118,4,5564,2
2015S804825,M,55,1,900,2
2015S804877,F,282,1,538,0
2015S804917,M,576,1,1180,1
2015S804957,M,244,3,1404,0
2015S804997,M,552,1,1180,1
2015S805013,F,647,1,1380,1
2015S805017,M,61,3,3640,2
2015S805113,M,519,1,150,1
2015S805133,M,664,1,2344,1
2015S808161,M,381,3,9769,3
2015S808185,M,653,1,938,1
2015S808213,F,629,1,1380,1
2015S808425,M,207,1,8200,0
2015S808469,F,639,1,1760,1
2015S808513,F,77,2,2364,2
2015S812209,M,560,1,2760,1
2015S812221,M,150,1,680,2
2015S812461,M,659,1,930,1
2015S812541,M,180,2,1609,0
2015S816057,F,26,33,153921,2
2015S816121,M,114,2,3766,2
2015S816177,F,416,1,325,3
2015S816269,F,641,1,229,1
2015S816325,F,418,1,680,3
2015S816401,F,574,1,1280,1
2015S816449,F,523,1,1080,1
2015S816461,M,273,2,2559,0
2015S820305,M,126,1,680,2
2015S820341,F,334,1,1512,3
2015S820401,M,97,3,5906,2
2015S820429,F,392,3,6420,3
2015S824181,F,26,4,8756,2
2015S824357,F,253,1,680,0
2015S824413,M,22,3,3759,2
2015S824437,M,351,4,9759,3
2015S824457,M,380,4,7946,3
2015S824489,F,472,1,998,3
2015S824533,M,308,2,2560,0
2015S824613,F,359,5,5849,3
2015S824625,M,649,1,1099,1
2015S828093,F,175,8,2536,0
2015S828097,M,647,1,520,1
2015S828137,M,611,1,539,1
2015S828197,F,369,3,5383,3
2015S828213,M,447,1,1469,3
2015S828245,M,173,1,999,0
2015S828257,M,179,1,1680,0
2015S828265,M,96,5,6499,2
2015S828313,F,43,9,15925,2
2015S828337,M,412,1,270,3
2015S828381,M,299,1,150,0
2015S828557,M,477,1,493,3
2015S828729,M,146,8,7140,2
2015S828773,M,13,3,5730,2
2015S828825,F,174,2,1349,0
